"City, State (largest to smallest 2010-14 RR)",Black rate T1,White rate T1,Relative% Difference T1,Rate ratio T1,RR 95% CI T1,Black rate T2,White rate T2,Relative% Difference T2,Rate ratio T2,RR 95% CI T2,Excess Deaths,"Δ in% Difference, p-value"
U.S.,32.6,23.3,39.7,1.4,"1.38, 1.42",30.7,21.4,43.1,1.43,"1.41, 1.45",3854,0.007
"Atlanta, GA",33.8,32.4,4.1,1.04,"0.82, 1.32",44,20.2,117.4,2.17,"1.68, 2.82",20,<0.001
"Austin, TX",31.6,23.6,34,1.34,"0.96, 1.87",39,20.1,93.9,1.94,"1.45, 2.59",4,0.084
"Wichita, KS",38,24.3,56.6,1.57,"1.08, 2.27",35.2,19.5,80.5,1.8,"1.24, 2.63",2,0.589
"San Antonio, TX",34.4,27.6,24.4,1.24,"0.96, 1.61",40.9,22.8,79.3,1.79,"1.41, 2.27",8,0.034
"Kansas City, MO",34.7,25.9,33.9,1.34,"1.07, 1.68",38.9,22,76.7,1.77,"1.41, 2.21",12,0.061
"Dallas, TX",34.3,23.4,46.8,1.47,"1.24, 1.74",34.3,19.6,75.1,1.75,"1.47, 2.08",15,0.11
"Memphis, TN",44.3,21,111,2.11,"1.75, 2.55",37.5,22.2,68.9,1.69,"1.40, 2.04",26,0.043
"Los Angeles, CA",45.6,26.7,70.8,1.71,"1.53, 1.90",40.3,24.1,67.5,1.67,"1.49, 1.88",43,0.795
"Oklahoma City, OK",29.3,22.9,28,1.28,"0.96, 1.71",34.2,21.8,56.5,1.56,"1.19, 2.05",5,0.303
"Chicago, IL",36.5,24.6,48,1.48,"1.34, 1.64",34.6,22.6,52.8,1.53,"1.38, 1.70",62,0.617
"Houston, TX",44.8,29.7,51,1.51,"1.34, 1.70",40.2,26.8,50,1.5,"1.33, 1.70",30,0.936
"Raleigh, NC",31.5,21.5,46.1,1.46,"1.07, 1.99",31.7,21.1,50,1.5,"1.13, 2.00",4,0.897
"Fort Worth, TX",35,24.2,44.3,1.44,"1.14, 1.83",33,22.1,49.4,1.49,"1.19, 1.88",3,0.826
"San Francisco, CA",29.1,23.9,21.6,1.22,"0.89, 1.66",29.5,20,47.4,1.47,"1.05, 2.07",4,0.407
"Washington, DC",34.4,24.3,41.9,1.42,"1.14, 1.77",34.4,24,43.2,1.43,"1.16, 1.77",46,0.944
"Denver, CO",29.9,20.1,48.5,1.49,"1.08, 2.04",31.1,21.8,42.9,1.43,"1.05, 1.94",4,0.857
"Omaha, NE",27.3,24.5,11.8,1.12,"0.76, 1.63",35.4,24.9,42,1.42,"1.02, 1.98",1,0.342
"San Jose, CA",33.5,27.9,20.1,1.2,"0.75, 1.93",33.8,24.1,40,1.4,"0.89, 2.19",,0.638
